sequence,time_from_case9,operation,detail
1516,2916,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=59 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1517,2917,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1518,2918,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1519,2919,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1520,2920,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1521,2921,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1522,2922,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1523,2924,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=60 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1524,2926,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=60 frame_token=257701208861 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1525,2935,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1526,2936,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1527,2937,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1528,2938,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1529,2939,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1530,2943,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=60 saved_r9=0x0 frame_token=257701208861 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1531,2945,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=60 restored_r9=0x0 ok=1 frame_token=257701208861 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1532,2947,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1533,2948,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=60 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1534,2949,TIMER_CADENCE_VERDICT,"[TIMER_CADENCE_VERDICT] verdict=TIMER_CADENCE_VALID deliveries=60 duplicates=0 max_outstanding=1 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1535,2950,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1536,2951,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1537,2952,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1538,2953,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1539,2954,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1540,2955,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1541,2957,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=61 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1542,2959,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=61 frame_token=261996176157 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1543,2968,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1544,2969,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1545,2970,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1546,2971,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1547,2972,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1548,2976,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=61 saved_r9=0x0 frame_token=261996176157 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1549,2978,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=61 restored_r9=0x0 ok=1 frame_token=261996176157 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1550,2980,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1551,2981,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=61 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1552,2982,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1553,2983,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1554,2984,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1555,2985,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1556,2986,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1557,2987,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1558,2989,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=62 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1559,2991,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=62 frame_token=266291143453 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1560,3000,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1561,3001,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1562,3002,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1563,3003,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1564,3004,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1565,3008,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=62 saved_r9=0x0 frame_token=266291143453 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1566,3010,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=62 restored_r9=0x0 ok=1 frame_token=266291143453 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1567,3012,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1568,3013,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=62 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1569,3014,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1570,3015,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1571,3016,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1572,3017,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1573,3018,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1574,3019,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1575,3021,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=63 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1576,3023,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=63 frame_token=270586110749 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1577,3032,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1578,3033,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1579,3034,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1580,3035,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1581,3036,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1582,3040,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=63 saved_r9=0x0 frame_token=270586110749 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1583,3042,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=63 restored_r9=0x0 ok=1 frame_token=270586110749 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1584,3044,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1585,3045,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=63 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1586,3046,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1587,3047,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1588,3048,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1589,3049,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1590,3050,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1591,3051,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1592,3053,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=64 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1593,3055,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=64 frame_token=274881078045 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1594,3064,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1595,3065,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1596,3066,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1597,3067,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1598,3068,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1599,3072,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=64 saved_r9=0x0 frame_token=274881078045 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1600,3074,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=64 restored_r9=0x0 ok=1 frame_token=274881078045 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1601,3076,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1602,3077,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=64 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1603,3078,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1604,3079,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1605,3080,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1606,3081,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1607,3082,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1608,3083,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1609,3085,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=65 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1610,3087,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=65 frame_token=279176045341 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1611,3096,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1612,3097,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1613,3098,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1614,3099,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1615,3100,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1616,3104,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=65 saved_r9=0x0 frame_token=279176045341 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1617,3106,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=65 restored_r9=0x0 ok=1 frame_token=279176045341 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1618,3108,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1619,3109,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=65 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1620,3110,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1621,3111,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1622,3112,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1623,3113,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1624,3114,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1625,3115,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1626,3117,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=66 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1627,3119,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=66 frame_token=283471012637 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1628,3128,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1629,3129,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1630,3130,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1631,3131,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1632,3132,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1633,3136,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=66 saved_r9=0x0 frame_token=283471012637 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1634,3138,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=66 restored_r9=0x0 ok=1 frame_token=283471012637 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1635,3140,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1636,3141,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=66 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1637,3142,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1638,3143,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1639,3144,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1640,3145,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1641,3146,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1642,3147,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1643,3149,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=67 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1644,3151,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=67 frame_token=287765979933 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1645,3160,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1646,3161,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1647,3162,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1648,3163,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1649,3164,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
1650,3168,CALLBACK_FRAME_RESTORE_BEGIN,"[CALLBACK_FRAME_RESTORE_BEGIN] seq=67 saved_r9=0x0 frame_token=287765979933 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1651,3170,CALLBACK_FRAME_RESTORE_COMPLETE,"[CALLBACK_FRAME_RESTORE_COMPLETE] seq=67 restored_r9=0x0 ok=1 frame_token=287765979933 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1652,3172,SCHEDULER_NATURAL_CALLBACK,"[SCHEDULER_NATURAL_CALLBACK] owner_module=robotol.ext source=PLATFORM_TIMER forced=no handler=0x30631D ret=0 guest_entered=yes run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1653,3173,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE_DONE tick=67 ok=1 end=stop_at_base pc_after=0x80000 r0_after=0x0 r9_after=0x2B1868 sp_after=0x280000 uc_err=0 detail=- evidence=OBSERVED"
1654,3174,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE ret=0 evidence=DOCUMENTED"
1655,3175,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DONE via=host_loop evidence=DOCUMENTED"
1656,3176,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_CB interval=50 evidence=DOCUMENTED"
1657,3177,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_DUE via=host_loop evidence=DOCUMENTED"
1658,3178,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_ENTER evidence=DOCUMENTED"
1659,3179,PLATFORM_TIMER,"[PLATFORM_TIMER] op=FIRE_LOCKED evidence=DOCUMENTED"
1660,3181,JJFB_LIFECYCLE,"[JJFB_LIFECYCLE] op=FIRE tick=68 handler=0x30631D r0=0 r1=0 r9=0x2B1868 owner=robotol.ext evidence=CROSS_TARGET+docs/06"
1661,3183,CALLBACK_FRAME_ENTER,"[CALLBACK_FRAME_ENTER] seq=68 frame_token=292060947229 handler=0x30631D r9=0x2B1868 stop_sentinel=0x80000 run_id=p17_hit1_20260801_144222_15364 evidence=OBSERVED"
1662,3192,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x30667A target=0x304569 arg0=0x1E209 arg1=0x9"
1663,3193,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=SUPPRESS event=0x1E209 app=0x9 note=ffp_identity evidence=OBSERVED"
1664,3194,PLATFORM_FAMILY_EVENT,"[PLATFORM_FAMILY_EVENT] op=DEFER_DRAIN_TO_MAP_REDIRECT event=0x1E209 app=0x9 note=avoid_nested_emu_inside_map_func evidence=OBSERVED"
1665,3195,JJFB_EXTCHUNK_SLOT_CALL,"[JJFB_EXTCHUNK_SLOT_CALL] off=0x28 pc=0x280058 r0=0x1E209 r1=0x9 r2=0x0 r3=0x0 r4=0x1E209 ret=0x0 evidence=TARGET_OBSERVED"
1666,3196,GUEST_INDIRECT_CALL,"[GUEST_INDIRECT_CALL] module_id=3 pc=0x306762 target=0x2F9975 arg0=0x0 arg1=0x0"
